City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
303,luderitz,-26.6481,15.1594,293.28,50,64,3.92,NA,1731390086
304,champerico,14.3,-91.9167,298.25,88,99,2.83,GT,1731390087
305,ekibastuz,51.6667,75.3667,265.02,72,21,7.35,KZ,1731390088
306,tobelo,1.7284,128.0095,302.45,71,51,1.31,ID,1731390090
307,honggang,46.4667,124.8667,276.13,46,0,1.95,CN,1731390091
308,luau,-10.7073,22.2247,293.06,90,100,1.15,AO,1731390093
309,kapa'a,22.0752,-159.319,298.33,88,100,6.69,US,1731390094
310,brookings,44.3114,-96.7984,273.21,91,0,2.57,US,1731389823
311,arkhangel'sk,64.5401,40.5433,273.21,100,100,6.0,RU,1731390001
312,tete,-16.1564,33.5867,299.2,73,75,1.54,MZ,1731390098
313,san fernando de apure,7.8878,-67.4724,297.98,87,54,1.43,VE,1731390100
314,balkanabat,39.5108,54.3671,285.38,71,100,0.8,TM,1731390101
315,oranjemund,-28.55,16.4333,289.64,80,13,3.32,NA,1731390102
316,howrah,22.5892,88.3103,303.15,54,40,3.6,IN,1731390104
317,aswan,24.0934,32.907,290.76,45,0,3.09,EG,1731390105
318,vorgashor,67.5833,63.95,254.55,93,39,4.0,RU,1731390107
319,p'ot'i,42.1462,41.672,285.86,78,88,3.62,GE,1731390108
320,misratah,32.3754,15.0925,293.84,69,73,2.55,LY,1731390109
321,mersa matruh,31.3525,27.2453,288.26,77,40,2.06,EG,1731390111
322,rio de janeiro,-22.9028,-43.2075,295.15,78,0,2.57,BR,1731389900
323,kununurra,-15.7667,128.7333,314.14,27,40,3.6,AU,1731390113
324,lae,-6.7221,146.9847,300.03,73,76,3.37,PG,1731390115
325,zurrieq,35.8311,14.4742,286.88,100,20,1.54,MT,1731390116
326,naze,28.3667,129.4833,296.66,78,100,4.88,JP,1731390118
327,la ronge,55.1001,-105.2842,275.29,80,100,7.2,CA,1731390119
328,abdanan,32.9926,47.4198,295.16,37,90,2.66,IR,1731390120
329,conchal,-22.3303,-47.1725,295.23,72,0,1.29,BR,1731390122
330,bairnsdale,-37.8333,147.6167,293.18,78,30,1.34,AU,1731390123
331,kita,13.0349,-9.4895,293.8,38,35,0.53,ML,1731390124
332,alofi,-19.0595,-169.9187,295.09,94,75,8.75,NU,1731390126
333,kidal,18.4411,1.4078,291.49,21,4,3.82,ML,1731390127
334,karratha,-20.7377,116.8463,308.43,29,16,7.68,AU,1731390129
335,mbanza kongo,-6.267,14.2401,295.17,93,99,0.75,AO,1731390130
336,geraldton,-28.7667,114.6,298.38,50,0,9.77,AU,1731390132
337,polyarnyy,69.1989,33.4478,275.5,88,100,5.31,RU,1731390133
338,taoudenni,22.6783,-3.9836,295.57,23,79,2.81,ML,1731390134
339,marquette,46.5333,-87.6335,274.46,89,83,0.45,US,1731390136
340,sisimiut,66.9395,-53.6735,269.48,68,100,2.94,GL,1731390137
341,kingaroy,-26.5333,151.8333,300.72,54,97,2.19,AU,1731390139
342,kandyagash,49.4744,57.4233,266.97,74,7,1.64,KZ,1731390140
343,gemlik,40.4309,29.1597,284.11,81,3,0.99,TR,1731390141
344,konosha,60.9736,40.257,270.07,95,92,2.22,RU,1731390143
345,starobin,52.7267,27.4606,272.87,93,54,2.11,BY,1731390144
346,maceio,-9.6658,-35.7353,297.84,88,40,1.54,BR,1731390145
347,cambria,35.5641,-121.0808,282.07,90,1,1.79,US,1731390147
348,boyolangu,-8.1181,111.8935,305.01,56,99,2.86,ID,1731390150
349,mili,6.0815,171.735,301.59,75,100,3.83,MH,1731390151
350,muisne,0.6,-80.0333,296.07,79,68,3.29,EC,1731390152
351,talcahuano,-36.7167,-73.1167,283.97,82,0,4.63,CL,1731390154
352,kingston,17.997,-76.7936,298.24,94,71,1.19,JM,1731389974
353,vanimo,-2.6741,141.3028,302.26,73,87,3.66,PG,1731390157
354,rye,40.9807,-73.6837,288.39,67,40,2.68,US,1731390158
355,castillos,-34.1667,-53.8333,283.34,75,14,3.66,UY,1731390159
356,hithadhoo,-0.6,73.0833,301.68,75,97,7.87,MV,1731390161
357,catriel,-37.8791,-67.7956,287.85,39,68,8.97,AR,1731390162
358,corpus christi,27.8006,-97.3964,297.58,86,50,2.71,US,1731390006
359,leava,-14.3,-178.1667,300.96,80,36,5.06,WF,1731390165
360,pelabuhanratu,-6.9875,106.5514,301.73,79,86,2.37,ID,1731390166
361,sao miguel do araguaia,-13.275,-50.1628,294.68,96,100,1.12,BR,1731390168
362,lugazi,0.3772,32.9197,292.67,91,98,0.6,UG,1731390169
363,luena,-11.7833,19.9167,291.33,90,69,1.87,AO,1731390171
364,paraty,-23.2178,-44.7131,295.69,83,8,2.13,BR,1731390172
365,rey bouba,8.6724,14.1786,296.66,43,15,0.58,CM,1731390173
366,laguna,38.421,-121.4238,282.62,91,0,2.06,US,1731390175
367,malango,-2.9627,119.9001,299.23,82,92,1.62,ID,1731390176
368,mariental,-24.6333,17.9667,294.35,13,0,2.83,NA,1731390178
369,lebu,-37.6167,-73.65,283.66,82,96,6.96,CL,1731390179
370,flying fish cove,-10.4217,105.6791,301.97,78,100,6.17,CX,1731390180
371,long beach,33.767,-118.1892,289.46,91,3,0.89,US,1731389882
372,pitea,65.3172,21.4794,273.34,86,46,2.25,SE,1731390183
373,boa vista,2.8197,-60.6733,301.14,69,40,5.14,BR,1731390107
